File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
rtc_app.o,0.022656%,12,0,12,0,0,0
fpinit.o,0.018880%,10,0,10,0,0,0
rtexit2.o,0.018880%,10,0,10,0,0,0
_sputc.o,0.018880%,10,0,10,0,0,0
_printf_ll.o,0.018880%,10,0,10,0,0,0
_printf_l.o,0.018880%,10,0,10,0,0,0
sd_app.o,0.018880%,10,0,10,0,0,0
rt_locale_intlibspace.o,0.015104%,8,0,8,0,0,0
libspace.o,0.015104%,8,96,8,0,0,96
__main.o,0.015104%,8,0,8,0,0,0
heapauxi.o,0.011328%,6,0,6,0,0,0
_printf_x.o,0.011328%,6,0,6,0,0,0
_printf_u.o,0.011328%,6,0,6,0,0,0
_printf_s.o,0.011328%,6,0,6,0,0,0
_printf_p.o,0.011328%,6,0,6,0,0,0
_printf_o.o,0.011328%,6,0,6,0,0,0
_printf_n.o,0.011328%,6,0,6,0,0,0
_printf_ls.o,0.011328%,6,0,6,0,0,0
_printf_llx.o,0.011328%,6,0,6,0,0,0
_printf_llu.o,0.011328%,6,0,6,0,0,0
_printf_llo.o,0.011328%,6,0,6,0,0,0
_printf_lli.o,0.011328%,6,0,6,0,0,0
_printf_lld.o,0.011328%,6,0,6,0,0,0
_printf_lc.o,0.011328%,6,0,6,0,0,0
_printf_i.o,0.011328%,6,0,6,0,0,0
_printf_g.o,0.011328%,6,0,6,0,0,0
_printf_f.o,0.011328%,6,0,6,0,0,0
_printf_e.o,0.011328%,6,0,6,0,0,0
_printf_d.o,0.011328%,6,0,6,0,0,0
_printf_c.o,0.011328%,6,0,6,0,0,0
_printf_a.o,0.011328%,6,0,6,0,0,0
__rtentry4.o,0.011328%,6,0,6,0,0,0
printf2.o,0.007552%,4,0,4,0,0,0
printf1.o,0.007552%,4,0,4,0,0,0
_printf_percent_end.o,0.007552%,4,0,4,0,0,0
use_no_semi.o,0.003776%,2,0,2,0,0,0
rtexit.o,0.003776%,2,0,2,0,0,0
libshutdown2.o,0.003776%,2,0,2,0,0,0
libshutdown.o,0.003776%,2,0,2,0,0,0
libinit.o,0.003776%,2,0,2,0,0,0
